City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Kiama,AU,79.25,broken clouds,-34.6833,150.8667,Nova Kiama
472,Kampot,KH,80.65,clear sky,10.6167,104.1833,Sambor Sambat Guesthouse
477,Luganville,VU,83.32,light rain,-15.5333,167.1667,Beachfront Resort
484,Hervey Bay,AU,77.02,light rain,-25.2986,152.8535,Hervey Bay Hotel
488,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,Khách sạn Thái Bình
489,Puerto Escondido,MX,75.31,clear sky,15.85,-97.0667,Hotel Barlovento
491,Culebra,PR,77.09,light rain,18.303,-65.301,Hotel Kokomo
499,Nabire,ID,83.57,overcast clouds,-3.3667,135.4833,Hotel Anggrek
503,Langsa,ID,78.4,overcast clouds,4.4683,97.9683,Harmoni Hotel
534,Ciudad Bolivar,VE,81.46,overcast clouds,8.1222,-63.5497,Paoca
540,Maumere,ID,83.17,overcast clouds,-8.6199,122.2111,Bogor
553,Tuy Hoa,VN,75.74,clear sky,13.0833,109.3,Vinh Tuan Hotel
555,Upata,VE,76.19,overcast clouds,8.0086,-62.3989,Hotel Garibardi
557,Batticaloa,LK,75.87,overcast clouds,7.7102,81.6924,Lake View Hotel
560,Miri,MY,80.74,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
591,La Macarena,CO,76.5,broken clouds,2.1837,-73.7849,Muñoz
592,Fayaoue,NC,80.56,scattered clouds,-20.65,166.5333,Hôtel Beaupré
598,Kathu,TH,83.7,broken clouds,7.9178,98.3332,Tinidee Hotel
614,Gambela,ET,78.98,broken clouds,8.25,34.5833,Grand Hotel
624,Grand Gaube,MU,79.2,light rain,-20.0064,57.6608,Coco Villa
631,Ballina,AU,82.02,scattered clouds,-28.8667,153.5667,Ballina Beach Resort
640,Aketi,CD,76.19,overcast clouds,2.7388,23.7833,Hôtel Mabinza
647,Fortaleza,BR,81.21,scattered clouds,-3.7227,-38.5247,Hotel Catedral
648,Takoradi,GH,78.4,clear sky,4.8845,-1.7554,Hillcrest
653,Chake Chake,TZ,77.41,scattered clouds,-5.2459,39.7666,Annex Pemba Hotel
671,Sorong,ID,83.39,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
675,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Hôtel Trévani
690,Beira,MZ,77.09,light rain,-19.8436,34.8389,Hotel Savoy
729,Ranot,TH,79.29,overcast clouds,7.7777,100.3213,Tarin Hotel
730,Kismayo,SO,76.96,broken clouds,-0.3582,42.5454,Kismayo Hotel
