City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Aden,YE,12.7794,45.0367,76.44,69,67,13.15,broken clouds
80,Hofn,IS,64.2539,-15.2082,24.28,59,100,21.27,overcast clouds
81,Denpasar,ID,-8.65,115.2167,83.86,83,75,11.5,light rain
82,Kaitangata,NZ,-46.2817,169.8464,71.46,57,27,6.44,scattered clouds
83,Thompson,CA,55.7435,-97.8558,3.36,85,100,5.75,light snow
84,Roebourne,AU,-20.7833,117.1333,86.22,63,88,8.48,overcast clouds
85,Jilib,SO,0.4883,42.7854,74.34,88,95,8.05,overcast clouds
86,Hobart,AU,-42.8794,147.3294,71.06,51,75,11.5,broken clouds
87,Aksarka,RU,66.5606,67.7975,8.2,97,98,3.49,overcast clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,70.09,88,40,8.05,scattered clouds
89,Severo-Kurilsk,RU,50.6789,156.125,17.4,79,100,26.19,light snow
90,Changtu,CN,42.7788,124.0955,6.78,56,0,7.18,clear sky
91,Lyndon,US,38.2567,-85.6016,39.54,58,0,6.91,clear sky
92,Bonfim,BR,3.0833,-59.95,76.59,80,100,5.14,overcast clouds
93,Port Hardy,CA,50.6996,-127.4199,44.78,100,100,2.3,light intensity shower rain
94,Opuwo,NA,-18.0607,13.84,70.25,65,76,3.69,broken clouds
95,Port Lincoln,AU,-34.7333,135.8667,74.25,55,51,8.57,broken clouds
96,Torbay,CA,47.6666,-52.7314,33.39,95,100,21.0,light rain
97,Kenai,US,60.5544,-151.2583,30.15,93,100,14.97,overcast clouds
98,Baltasi,RU,56.3462,50.2062,8.33,90,88,13.47,overcast clouds
99,Salalah,OM,17.0151,54.0924,69.89,88,20,2.3,few clouds
100,Bengkulu,ID,-3.8004,102.2655,79.95,73,38,1.99,scattered clouds
101,Bethel,US,41.3712,-73.414,35.96,52,0,10.36,clear sky
102,Isla Vista,US,34.4133,-119.861,52.99,93,100,4.61,mist
103,Kununurra,AU,-15.7667,128.7333,85.98,79,40,6.91,scattered clouds
104,Yumen,CN,40.2833,97.2,6.31,69,5,27.54,clear sky
105,Yerbogachen,RU,61.2767,108.0108,-63.08,100,93,2.55,overcast clouds
106,Bathsheba,BB,13.2167,-59.5167,77.61,83,40,9.22,scattered clouds
107,Korla,CN,41.7597,86.1469,3.22,94,91,2.3,overcast clouds
108,Waitati,NZ,-45.75,170.5667,70.48,60,25,6.31,scattered clouds
109,Derzhavinsk,KZ,51.1,66.3167,-3.37,86,13,6.4,few clouds
110,Sitka,US,57.0531,-135.33,42.69,87,100,3.44,mist
111,Pocone,BR,-16.2567,-56.6228,76.62,78,100,3.11,overcast clouds
112,Charleston,US,32.7766,-79.9309,42.98,67,0,0.0,clear sky
113,Guayaramerin,BO,-10.8368,-65.3614,72.54,97,63,2.48,broken clouds
114,Vila Velha,BR,-20.3297,-40.2925,76.95,90,20,6.91,few clouds
115,Komsomolskiy,UZ,40.4272,71.7189,9.32,78,4,2.3,mist
116,Tomatlan,MX,19.9333,-105.25,67.06,73,41,2.77,scattered clouds
117,Naze,JP,28.3667,129.4833,56.32,75,98,17.76,overcast clouds
118,Beloha,MG,-25.1667,45.05,71.87,88,0,7.87,clear sky
119,Priargunsk,RU,50.3691,119.1012,-16.51,97,100,3.24,overcast clouds
120,Dongning,CN,44.0622,131.1207,6.93,62,0,11.79,clear sky
121,Bandarbeyla,SO,9.4942,50.8122,75.16,75,67,15.32,light rain
122,La Ronge,CA,55.1001,-105.2842,14.25,85,75,2.3,light snow
123,Doka,SD,13.5167,35.7667,72.46,31,13,13.2,few clouds
124,Oktyabrskiy,RU,54.4815,53.471,-2.07,86,25,5.66,scattered clouds
125,Namibe,AO,-15.1961,12.1522,71.89,81,100,2.1,light rain
126,Aswan,EG,24.0934,32.907,54.7,47,0,4.61,clear sky
127,Arlit,NE,18.7369,7.3853,60.03,23,0,5.68,clear sky
128,Vardo,NO,70.3705,31.1107,33.78,86,100,26.46,light snow
129,Victoria,HK,22.2855,114.1577,56.25,71,94,13.0,overcast clouds
130,Le Port,RE,-20.9373,55.2919,78.26,55,46,6.44,scattered clouds
131,Colquiri,BO,-17.4167,-67.1333,39.99,80,50,10.13,scattered clouds
132,Westerly,US,41.3776,-71.8273,39.06,65,100,13.8,overcast clouds
133,Verkhniy Rohachyk,UA,47.2505,34.338,30.22,81,100,5.12,overcast clouds
134,Sidi Ali,DZ,36.0998,0.4206,52.74,89,14,10.27,few clouds
135,Tiksi,RU,71.6872,128.8694,-30.01,100,100,4.76,overcast clouds
136,Lorengau,PG,-2.0226,147.2712,83.77,68,76,3.44,broken clouds
137,Atar,MR,20.5169,-13.0499,67.19,19,2,10.11,clear sky
138,Aranos,NA,-24.1333,19.1167,78.93,38,41,10.63,scattered clouds
139,Morehead,US,37.2711,-87.1764,39.99,48,0,0.0,clear sky
140,Dori,BF,14.0354,-0.0345,67.6,19,99,9.01,overcast clouds
141,Belmonte,BR,-15.8631,-38.8828,75.52,81,67,5.5,broken clouds
142,San Andres,CO,12.5847,-81.7006,78.82,65,20,14.97,few clouds
143,Rio Gallegos,AR,-51.6226,-69.2181,60.85,41,0,10.36,clear sky
144,Karangampel,ID,-6.4622,108.4519,83.21,72,100,5.37,overcast clouds
145,Constitucion,CL,-35.3333,-72.4167,56.73,79,25,11.54,scattered clouds
146,Preobrazheniye,RU,42.9019,133.9064,14.18,31,0,6.73,clear sky
147,Lompoc,US,34.6391,-120.4579,51.53,92,100,10.36,overcast clouds
148,Erenhot,CN,43.6475,111.9767,6.75,68,0,16.6,clear sky
149,Saint-Joseph,RE,-21.3667,55.6167,73.78,78,31,12.1,scattered clouds
150,Ribeira Grande,PT,38.5167,-28.7,50.77,81,6,10.0,clear sky
151,Paamiut,GL,61.994,-49.6678,12.52,76,100,26.08,light snow
152,Camacha,PT,33.0833,-16.3333,60.22,77,40,11.5,light rain
153,Albury,AU,-36.0833,146.9167,93.33,31,100,6.33,overcast clouds
154,Hualmay,PE,-11.0964,-77.6139,69.8,80,100,7.07,overcast clouds
155,Nova Olimpia,BR,-14.7972,-57.2881,73.47,90,100,2.13,overcast clouds
156,Saldanha,ZA,-33.0117,17.9442,60.85,87,1,8.05,clear sky
157,Aller,ES,43.1187,-5.5839,42.66,97,100,7.11,light rain
158,Itarema,BR,-2.9248,-39.9167,77.45,86,100,9.55,overcast clouds
159,Pokhara,NP,28.2333,83.9833,49.62,50,100,0.65,overcast clouds
160,Scarborough,GB,54.2797,-0.4044,33.37,89,100,2.71,overcast clouds
161,Nanakuli,US,21.3906,-158.1547,78.75,61,100,10.36,overcast clouds
162,Sorland,NO,67.667,12.6934,35.46,59,100,10.49,overcast clouds
163,Codrington,AU,-38.2667,141.9667,74.23,37,0,12.55,clear sky
164,Khor,RU,47.8861,134.9464,-10.75,93,99,10.18,overcast clouds
165,Leningradskiy,RU,69.3833,178.4167,-28.68,100,97,0.25,overcast clouds
166,Oksfjord,NO,70.2396,22.3479,32.18,89,100,11.03,overcast clouds
167,Katobu,ID,-4.9408,122.5276,86.65,60,99,4.07,overcast clouds
168,Longyearbyen,SJ,78.2186,15.6401,17.44,67,40,20.71,scattered clouds
169,Bollnas,SE,61.3482,16.3946,32.47,99,100,2.17,light snow
170,Waddan,LY,29.1614,16.139,49.46,75,0,3.53,clear sky
171,Pine Bluff,US,34.2284,-92.0032,58.32,57,100,8.05,overcast clouds
172,Airai,TL,-8.9266,125.4092,72.14,63,100,2.59,overcast clouds
173,Puerto Ayora,EC,-0.7393,-90.3518,75.54,95,35,3.0,scattered clouds
174,Khatanga,RU,71.9667,102.5,-53.23,99,54,4.07,broken clouds
175,Cedar City,US,37.6775,-113.0619,34.77,75,100,10.36,overcast clouds
176,Matara,LK,5.9485,80.5353,75.38,83,100,3.78,overcast clouds
177,Sistranda,NO,63.7256,8.834,30.16,92,100,4.36,light snow
178,Whitianga,NZ,-36.8333,175.7,68.11,68,9,11.16,clear sky
179,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.6,67,0,13.8,clear sky
180,Mahebourg,MU,-20.4081,57.7,79.09,78,40,12.66,scattered clouds
181,Swan Hill,AU,-35.3378,143.5544,89.51,23,84,4.81,broken clouds
182,Touros,BR,-5.1989,-35.4608,78.87,76,100,11.9,overcast clouds
183,Narsaq,GL,60.9167,-46.05,14.22,70,41,17.29,scattered clouds
184,Tasiilaq,GL,65.6145,-37.6368,24.96,85,100,18.77,light snow
185,Kholm,RU,59.2667,32.85,32.4,97,100,14.2,light snow
186,Tilichiki,RU,60.4667,166.1,-6.74,90,100,7.9,overcast clouds
187,Dikson,RU,73.5069,80.5464,-33.79,92,5,4.32,clear sky
188,Huarmey,PE,-10.0681,-78.1522,70.03,78,100,7.81,overcast clouds
189,Jacareacanga,BR,-6.2222,-57.7528,71.53,94,93,0.87,overcast clouds
190,Nikolskoye,RU,59.7035,30.7861,33.8,97,100,11.81,light snow
191,Jujutla,SV,13.7869,-89.8572,74.61,65,3,4.54,clear sky
192,Namatanai,PG,-3.6667,152.4333,83.71,70,89,6.53,overcast clouds
193,Leme,BR,-22.1856,-47.3903,69.48,92,100,1.36,moderate rain
194,Shymkent,KZ,42.3,69.6,1.99,85,0,2.24,clear sky
195,Qaanaaq,GL,77.484,-69.3632,-7.8,60,25,7.11,scattered clouds
196,Poronaysk,RU,49.2167,143.1167,-2.83,77,2,3.6,clear sky
197,Adrar,MR,20.5022,-10.0711,62.22,19,0,11.21,clear sky
198,Namie,JP,37.4833,141.0,40.98,82,100,10.45,overcast clouds
199,Bambous Virieux,MU,-20.3428,57.7575,79.05,78,40,12.66,scattered clouds
200,Saint-Georges,GD,12.0564,-61.7485,78.48,78,20,8.05,few clouds
201,Chara,RU,56.9064,118.2631,-27.4,79,37,0.29,scattered clouds
202,Fortuna,US,40.5982,-124.1573,49.66,89,20,3.0,few clouds
203,Srednekolymsk,RU,67.45,153.6833,-43.94,99,69,6.49,broken clouds
204,Mao,ES,39.8885,4.2658,48.76,100,75,5.75,broken clouds
205,Along,IN,28.1667,94.7667,54.64,87,99,1.28,overcast clouds
206,Iranshahr,IR,27.2025,60.6848,48.85,31,0,1.43,clear sky
207,Waingapu,ID,-9.6567,120.2641,86.23,65,84,9.71,broken clouds
208,Bar,UA,49.0772,27.6826,36.18,84,100,12.44,overcast clouds
209,Benavente,ES,42.0025,-5.6783,39.65,81,100,14.0,overcast clouds
210,Verkhnevilyuysk,RU,63.4453,120.3167,-71.21,100,85,3.13,overcast clouds
211,Upernavik,GL,72.7868,-56.1549,1.56,74,100,5.28,overcast clouds
212,Tecoanapa,MX,16.5167,-98.75,76.96,82,0,7.7,clear sky
213,Carnarvon,AU,-24.8667,113.6333,77.58,60,0,22.91,clear sky
214,Ugoofaaru,MV,5.6667,73.0,80.02,74,76,10.98,broken clouds
215,Erzin,TR,36.9559,36.2,48.72,86,100,5.82,light rain
216,Voh,NC,-20.9667,164.7,84.45,63,99,7.11,overcast clouds
217,Metkovic,HR,43.0542,17.6483,41.47,76,100,6.04,overcast clouds
218,Baiao,BR,-2.7906,-49.6717,71.01,99,99,1.92,overcast clouds
219,Manakara,MG,-22.1333,48.0167,72.21,92,56,3.42,light rain
220,Coihaique,CL,-45.5752,-72.0662,55.35,54,0,9.22,clear sky
221,Borba,BR,-4.3878,-59.5939,71.53,99,82,1.74,broken clouds
222,Souillac,MU,-20.5167,57.5167,79.18,78,40,12.66,scattered clouds
223,Itambe,BR,-15.245,-40.6244,66.29,97,61,2.51,broken clouds
224,East London,ZA,-33.0153,27.9116,70.86,88,100,8.03,light rain
225,Marzuq,YE,14.4,46.4667,59.92,65,80,5.17,broken clouds
226,Estelle,US,29.8458,-90.1067,55.4,81,0,9.22,clear sky
227,Kupang,ID,-10.1667,123.5833,77.58,100,100,12.66,thunderstorm with light rain
228,Basoko,CD,1.2391,23.616,75.27,70,100,2.3,overcast clouds
229,Ayan,RU,56.45,138.1667,-27.26,62,100,12.03,overcast clouds
230,San Rafael,AR,-34.6177,-68.3301,73.22,39,41,6.42,scattered clouds
231,Padang,ID,-0.9492,100.3543,77.05,73,94,0.67,overcast clouds
232,Pemagatsel,BT,27.0319,91.4266,43.52,87,96,0.94,overcast clouds
233,Port Elizabeth,ZA,-33.918,25.5701,70.32,90,20,9.22,few clouds
234,Atuona,PF,-9.8,-139.0333,78.13,75,100,13.8,overcast clouds
235,Nuuk,GL,64.1835,-51.7216,6.62,85,100,16.62,light snow
236,Medea,DZ,36.2642,2.7539,42.01,79,3,4.18,clear sky
237,Pyaozerskiy,RU,65.8333,31.1667,33.42,92,100,12.73,overcast clouds
238,Vestmannaeyjar,IS,63.4427,-20.2734,22.95,66,0,9.73,clear sky
239,Yulara,AU,-25.2406,130.9889,94.48,21,2,16.49,clear sky
240,Cherskiy,RU,68.75,161.3,-41.08,99,48,5.44,scattered clouds
241,Natal,BR,-5.795,-35.2094,79.45,78,20,8.05,few clouds
242,Caravelas,BR,-17.7125,-39.2481,73.33,90,89,5.19,overcast clouds
243,Ewa Beach,US,21.3156,-158.0072,78.75,66,100,10.36,overcast clouds
244,Cap Malheureux,MU,-19.9842,57.6142,78.48,75,22,7.0,light rain
245,Kisangani,CD,0.5167,25.2,72.81,80,100,3.11,overcast clouds
246,Kitami,JP,43.8031,143.8908,23.13,85,100,2.64,overcast clouds
247,Olafsvik,IS,64.8945,-23.7142,23.07,70,14,14.27,few clouds
248,Geraldton,AU,-28.7667,114.6,73.81,56,100,25.32,overcast clouds
249,Tessalit,ML,20.1986,1.0114,62.4,21,0,11.36,clear sky
250,Tonj,SS,7.2737,28.6822,71.91,29,59,4.41,broken clouds
251,Champerico,GT,14.3,-91.9167,78.3,76,3,1.79,clear sky
252,Mitzic,GA,0.7821,11.549,67.64,98,59,1.3,broken clouds
253,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,40,20.71,scattered clouds
254,Nome,US,64.5011,-165.4064,15.87,79,100,8.05,snow
255,Ponta Do Sol,PT,32.6667,-17.1,64.0,72,44,6.55,scattered clouds
256,Georgetown,MY,5.4112,100.3354,82.33,93,20,5.99,few clouds
257,Sivaki,RU,52.6333,126.75,-20.51,94,56,3.09,broken clouds
258,Shakawe,BW,-18.3667,21.85,68.54,86,100,3.91,overcast clouds
259,High Level,CA,58.5169,-117.136,3.31,85,40,0.0,scattered clouds
260,Moctezuma,MX,29.8,-109.6667,57.72,54,78,10.0,broken clouds
261,Aberdeen,GB,57.1437,-2.0981,32.49,77,98,12.66,overcast clouds
262,Cervo,ES,43.6702,-7.4101,54.37,84,100,30.6,overcast clouds
263,Port Macquarie,AU,-31.4333,152.9167,80.89,57,3,9.42,clear sky
264,Tura,IN,25.5198,90.2201,57.99,56,0,1.86,clear sky
265,Hambantota,LK,6.1241,81.1185,73.74,100,75,2.3,broken clouds
266,Kuusamo,FI,65.9667,29.1833,32.04,93,100,14.97,overcast clouds
267,Rosetta,EG,31.4044,30.4164,56.14,65,92,13.89,overcast clouds
268,Iqaluit,CA,63.7506,-68.5145,-22.27,74,75,2.3,broken clouds
269,Portland,US,45.5234,-122.6762,48.15,89,100,13.8,overcast clouds
270,Bassila,BJ,9.0081,1.6654,71.71,23,8,5.21,clear sky
271,Clyde River,CA,70.4692,-68.5914,-12.77,64,100,11.5,overcast clouds
272,Gat,IL,31.61,34.7642,52.48,66,10,5.61,clear sky
273,Helong,CN,42.5397,128.9972,8.22,48,0,5.84,clear sky
274,Mitsamiouli,KM,-11.3847,43.2844,79.21,78,50,4.41,moderate rain
275,Thinadhoo,MV,0.5333,72.9333,78.78,72,100,1.59,overcast clouds
276,Jasper,US,37.2001,-94.3502,59.0,66,20,18.41,few clouds
277,Kavieng,PG,-2.5744,150.7967,83.05,75,88,7.23,moderate rain
278,Mattawa,US,46.7379,-119.9028,46.4,78,100,0.83,overcast clouds
279,Xifeng,CN,42.7372,124.7222,6.22,61,0,5.86,clear sky
280,Kahului,US,20.8947,-156.47,78.82,72,40,17.27,scattered clouds
281,Zuenoula,CI,7.4292,-6.0431,70.14,29,1,2.91,clear sky
282,Cidreira,BR,-30.1811,-50.2056,73.56,86,100,8.48,overcast clouds
283,Ivanivka,UA,46.7208,34.553,31.01,80,100,3.96,overcast clouds
284,Bacolod,PH,10.6667,122.95,81.66,80,8,5.46,clear sky
285,Shimoda,JP,34.6667,138.95,52.16,68,100,16.82,moderate rain
286,Oro Valley,US,32.3909,-110.9665,52.57,88,100,3.0,moderate rain
287,Ancud,CL,-41.8697,-73.8203,51.55,83,66,5.5,broken clouds
288,Trairi,BR,-3.2778,-39.2689,76.69,87,100,8.3,overcast clouds
289,Porto Novo,BJ,6.4965,2.6036,80.42,84,2,4.81,clear sky
290,Nakamura,JP,32.9833,132.9333,55.2,69,54,9.84,broken clouds
291,Kathmandu,NP,27.7167,85.3167,43.02,87,75,2.3,mist
292,Tahoua,NE,14.8888,5.2692,61.86,20,83,12.53,broken clouds
293,Nishihara,JP,26.1842,127.7558,60.46,76,75,26.46,broken clouds
294,Mehamn,NO,71.0357,27.8492,30.11,74,100,4.61,light snow
295,Noshiro,JP,40.2039,140.0242,34.63,71,100,15.86,overcast clouds
296,Pareora,NZ,-44.4871,171.2132,75.18,63,2,9.8,clear sky
297,Phalombe,MW,-15.8064,35.6507,66.16,96,100,1.41,overcast clouds
298,Baghdad,IQ,33.3406,44.4009,44.51,76,100,3.44,fog
299,Buchanan,LR,5.8808,-10.0467,77.56,85,0,1.28,clear sky
300,Buala,SB,-8.145,159.5921,85.5,67,72,3.83,broken clouds
301,Springville,US,40.1652,-111.6107,37.15,89,100,0.0,overcast clouds
302,Soyo,AO,-6.1349,12.3689,78.4,84,100,0.85,light rain
303,Novikovo,RU,51.1537,37.8879,19.85,96,97,4.29,overcast clouds
304,Pacifica,US,37.6138,-122.4869,50.13,93,100,10.0,mist
305,Broken Hill,AU,-31.95,141.4333,93.16,24,4,7.29,clear sky
306,Tudela,ES,42.0617,-1.6045,38.3,59,100,22.77,overcast clouds
307,Galesong,ID,-5.3166,119.3661,86.02,73,95,4.5,overcast clouds
308,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.47,86,85,18.48,overcast clouds
309,Dekar,BW,-21.5333,21.9333,73.63,45,36,10.07,scattered clouds
310,Riyadh,SA,24.6877,46.7219,55.54,70,87,8.28,overcast clouds
311,Seoul,KR,37.5683,126.9778,25.99,52,0,10.36,clear sky
312,Yantzaza,EC,-3.8278,-78.7594,66.63,99,99,0.78,light rain
313,Saint-Augustin,CA,51.226,-58.6502,10.06,85,100,7.2,overcast clouds
314,Nouadhibou,MR,20.931,-17.0347,69.78,43,56,10.36,broken clouds
315,Bilibino,RU,68.0546,166.4372,-24.39,95,82,7.11,broken clouds
316,Somerville,US,42.3876,-71.0995,32.34,87,100,18.41,light snow
317,North Bend,US,43.4065,-124.2243,47.86,94,75,8.05,broken clouds
318,Roma,US,43.2128,-75.4557,20.95,88,75,5.75,broken clouds
319,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.75,75,31,2.39,scattered clouds
320,Saskylakh,RU,71.9167,114.0833,-39.5,97,100,3.96,overcast clouds
321,Kirkenaer,NO,60.4564,12.0582,16.54,99,100,1.63,overcast clouds
322,Tateyama,JP,34.9833,139.8667,49.1,83,100,1.48,light rain
323,Locri,IT,38.2414,16.2623,51.26,68,32,6.42,scattered clouds
324,Casma,CL,-41.0082,-73.1244,58.28,85,100,4.7,overcast clouds
325,Nizhniy Kuranakh,RU,58.8353,125.4869,-48.1,99,96,0.85,overcast clouds
326,Aklavik,CA,68.2191,-135.0107,-17.55,97,100,3.58,overcast clouds
327,Najran,SA,17.4924,44.1277,59.65,48,5,0.89,clear sky
328,Teknaf,BD,20.8624,92.3058,66.63,61,0,5.64,clear sky
329,Anaco,VE,9.4389,-64.4728,77.81,63,84,7.52,broken clouds
330,Thiruvananthapuram,IN,8.4833,76.9167,76.98,83,20,0.0,mist
331,Vila Franca Do Campo,PT,37.7167,-25.4333,52.21,80,6,5.57,clear sky
332,Acapulco,MX,16.8634,-99.8901,80.42,74,20,3.44,few clouds
333,Develi,TR,38.3906,35.4922,25.95,90,100,5.26,overcast clouds
334,Luwingu,ZM,-10.2621,29.9271,59.09,98,100,1.3,overcast clouds
335,Yinchuan,CN,38.4681,106.2731,14.88,43,100,1.5,overcast clouds
336,Broome,US,42.2506,-75.833,22.69,88,100,9.22,overcast clouds
337,Abalak,RU,58.1286,68.5944,16.38,80,37,14.32,scattered clouds
338,Lata,PT,40.1629,-8.3327,54.07,78,100,11.16,overcast clouds
339,Istra,RU,55.9178,36.8642,26.74,91,100,12.75,overcast clouds
340,Montepuez,MZ,-13.1256,38.9997,67.39,99,99,0.4,overcast clouds
341,Itamaraca,BR,-7.7478,-34.8256,80.65,77,100,6.8,overcast clouds
342,Leonidovo,RU,49.2833,142.8667,0.32,71,3,1.74,clear sky
343,Berezanskaya,RU,45.7056,39.5932,32.4,83,11,2.59,few clouds
344,Turukhansk,RU,65.8167,87.9833,-18.96,97,100,11.83,light snow
345,Mweka,CD,-4.85,21.5667,67.59,99,100,1.03,light rain
346,Santa Rosa,PH,14.3122,121.1114,80.02,82,100,11.81,moderate rain
347,Urbana,US,40.1106,-88.2073,40.51,73,0,17.27,clear sky
348,Tarut,SA,26.5733,50.0369,61.0,83,15,7.67,few clouds
349,Fort Nelson,CA,58.8053,-122.7002,10.94,94,100,2.3,mist
